Year,Company,Person,Project,Person Type,Project Url,Technology,Topic,Gender
2017,Zenodo,Krzysztof Nowak,Research Data Metadata Extraction - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/xiaom/106b9d111726cc99017b7efe7aead01c,python,content management,unknown
2017,Zenodo,Alex,Research Data Metadata Extraction - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/xiaom/106b9d111726cc99017b7efe7aead01c,python,content management,male
2017,XBMC Foundation,vel0city,RetroPlayer Improvements - 2017 - Google Summer of Code Archive,student,https://velocityra.github.io/gsoc-2017/,python,media center,male
2017,XBMC Foundation,Garrett Brown,RetroPlayer Improvements - 2017 - Google Summer of Code Archive,mentor,https://velocityra.github.io/gsoc-2017/,python,media center,female
2017,Freifunk,ange,RetroShare Improvements - 2017 - Google Summer of Code Archive,student,https://gitlab.com/angesoc/RetroShare-GSoC-2017-Report/uploads/a393c3361ebbcdea4dc5a736f2ed8ec6/GSoC_2017_RetroShare_Report-RC3.pdf,lede/openwrt,wireless,male
2017,Freifunk,Gioacchino Mazzurco,RetroShare Improvements - 2017 - Google Summer of Code Archive,mentor,https://gitlab.com/angesoc/RetroShare-GSoC-2017-Report/uploads/a393c3361ebbcdea4dc5a736f2ed8ec6/GSoC_2017_RetroShare_Report-RC3.pdf,lede/openwrt,wireless,male
2017,Freifunk,Ál,RetroShare Improvements - 2017 - Google Summer of Code Archive,mentor,https://gitlab.com/angesoc/RetroShare-GSoC-2017-Report/uploads/a393c3361ebbcdea4dc5a736f2ed8ec6/GSoC_2017_RetroShare_Report-RC3.pdf,lede/openwrt,wireless,male
2017,Tiled,Mohamed Ahmed thabet,Reusable Object Templates - 2017 - Google Summer of Code Archive,student,https://gist.github.com/thabetx/57cbf9c3fcb62ebe95c457678ba3f4b1,qt,edit,male
2017,Tiled,Thorbjørn Lindeijer,Reusable Object Templates - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/thabetx/57cbf9c3fcb62ebe95c457678ba3f4b1,qt,edit,male
2017,openSUSE,Ania Bui,Revamp Jangouts User Interface - 2017 - Google Summer of Code Archive,student,https://github.com/aniabui/jangouts/releases/tag/v0.4.6-redesign,ruby on rails,linux distribution,male
2017,openSUSE,imobachgs,Revamp Jangouts User Interface - 2017 - Google Summer of Code Archive,mentor,https://github.com/aniabui/jangouts/releases/tag/v0.4.6-redesign,ruby on rails,linux distribution,female
2017,openSUSE,ancorgs,Revamp Jangouts User Interface - 2017 - Google Summer of Code Archive,mentor,https://github.com/aniabui/jangouts/releases/tag/v0.4.6-redesign,ruby on rails,linux distribution,female
2017,openSUSE,Cyntss,Revamp Jangouts User Interface - 2017 - Google Summer of Code Archive,mentor,https://github.com/aniabui/jangouts/releases/tag/v0.4.6-redesign,ruby on rails,linux distribution,female
2017,LibreOffice,Muhammet Kara,Revamp the Customization Dialog - 2017 - Google Summer of Code Archive,student,https://gist.github.com/mrkara/a65fc6a92fc94fc9595b57131d79b743,c++,office suite,female
2017,LibreOffice,Heiko Tietze,Revamp the Customization Dialog - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/mrkara/a65fc6a92fc94fc9595b57131d79b743,c++,office suite,male
2017,LibreOffice,Bubli,Revamp the Customization Dialog - 2017 - Google Summer of Code Archive,mentor,https://gist.github.com/mrkara/a65fc6a92fc94fc9595b57131d79b743,c++,office suite,male
2017,Python Software Foundation,Ira Lun,Rework and fix WebOb’s handling of HTTP Accept headers - 2017 - Google Summer of Code Archive,student,https://github.com/whiteroses/gsoc-2017/blob/master/index.md,python,hardware,female
2017,Python Software Foundation,Michael Merickel,Rework and fix WebOb’s handling of HTTP Accept headers - 2017 - Google Summer of Code Archive,mentor,https://github.com/whiteroses/gsoc-2017/blob/master/index.md,python,hardware,male
2017,Python Software Foundation,Bert JW Regeer,Rework and fix WebOb’s handling of HTTP Accept headers - 2017 - Google Summer of Code Archive,mentor,https://github.com/whiteroses/gsoc-2017/blob/master/index.md,python,hardware,male
2017,Python Software Foundation,Steve Piercy,Rework and fix WebOb’s handling of HTTP Accept headers - 2017 - Google Summer of Code Archive,mentor,https://github.com/whiteroses/gsoc-2017/blob/master/index.md,python,hardware,male
2017,Apache Software Foundation,Madhawa Gunasekara,Rewrite Cassandra Module in Apache Gora to support CQL - 2017 - Google Summer of Code Archive,student,https://github.com/apache/gora/commits?author=madhawa-gunasekara,java,cloud,male
2017,Apache Software Foundation,djkevincr,Rewrite Cassandra Module in Apache Gora to support CQL - 2017 - Google Summer of Code Archive,mentor,https://github.com/apache/gora/commits?author=madhawa-gunasekara,java,cloud,female
2017,Apache Software Foundation,Lewis McGibbney,Rewrite Cassandra Module in Apache Gora to support CQL - 2017 - Google Summer of Code Archive,mentor,https://github.com/apache/gora/commits?author=madhawa-gunasekara,java,cloud,male
2017,OSGeo,Vidhan Jain,Rewrite for Turn Restricted Shortest Path Algorithm in PgRouting - 2017 - Google Summer of Code Archive,student,https://lists.osgeo.org/pipermail/soc/2017-August/003846.html,c++,gis,male
2017,OSGeo,Rohith Reddy,Rewrite for Turn Restricted Shortest Path Algorithm in PgRouting - 2017 - Google Summer of Code Archive,mentor,https://lists.osgeo.org/pipermail/soc/2017-August/003846.html,c++,gis,male
2017,OSGeo,Daniel Kastl,Rewrite for Turn Restricted Shortest Path Algorithm in PgRouting - 2017 - Google Summer of Code Archive,mentor,https://lists.osgeo.org/pipermail/soc/2017-August/003846.html,c++,gis,male
2017,Sustainable Computing Research Group ( SCoRe ),Pasan Ranathunga,Rewriting OpenDF frontend using React - 2017 - Google Summer of Code Archive,student,https://github.com/scorelab/GSoC/blob/master/GSoC-2017/Pasan_Ranathunga_Rewriting_OpenDF_Frontend_Using_React.md,python,iot,male
2017,Sustainable Computing Research Group ( SCoRe ),Milindu Sanoj Kumarage,Rewriting OpenDF frontend using React - 2017 - Google Summer of Code Archive,mentor,https://github.com/scorelab/GSoC/blob/master/GSoC-2017/Pasan_Ranathunga_Rewriting_OpenDF_Frontend_Using_React.md,python,iot,male
2017,Sustainable Computing Research Group ( SCoRe ),Kasun Balasooriya,Rewriting OpenDF frontend using React - 2017 - Google Summer of Code Archive,mentor,https://github.com/scorelab/GSoC/blob/master/GSoC-2017/Pasan_Ranathunga_Rewriting_OpenDF_Frontend_Using_React.md,python,iot,female
2017,Sustainable Computing Research Group ( SCoRe ),Dinith Minura-1,Rewriting OpenDF frontend using React - 2017 - Google Summer of Code Archive,mentor,https://github.com/scorelab/GSoC/blob/master/GSoC-2017/Pasan_Ranathunga_Rewriting_OpenDF_Frontend_Using_React.md,python,iot,male
2017,The Libreswan Project,Sahana Prasad,RFC-7427 Signature Authentication support to IKEv2 for Libreswan - 2017 - Google Summer of Code Archive,student,https://libreswan.org/wiki/Compliance_of_RFC_7427_-_Signature_Authentication_in_IKEv2,c,vpn,male
2017,The Libreswan Project,Paul Wouters,RFC-7427 Signature Authentication support to IKEv2 for Libreswan - 2017 - Google Summer of Code Archive,mentor,https://libreswan.org/wiki/Compliance_of_RFC_7427_-_Signature_Authentication_in_IKEv2,c,vpn,female
2017,The Libreswan Project,Tuomo Soini,RFC-7427 Signature Authentication support to IKEv2 for Libreswan - 2017 - Google Summer of Code Archive,mentor,https://libreswan.org/wiki/Compliance_of_RFC_7427_-_Signature_Authentication_in_IKEv2,c,vpn,male
2017,The GNU Project,Houmin,Ring - Create a C++ plugin for Ring - 2017 - Google Summer of Code Archive,student,https://github.com/SimpCosm/ring-client-iot/wiki,c,operating system,male
2017,The GNU Project,Stepan Salenikovich,Ring - Create a C++ plugin for Ring - 2017 - Google Summer of Code Archive,mentor,https://github.com/SimpCosm/ring-client-iot/wiki,c,operating system,female
